symbol,ex_date,amount
AAPL,2018-02-09,0.63
AAPL,2018-05-11,0.73
AAPL,2018-08-10,0.73
AAPL,2018-11-08,0.73
AAPL,2019-02-08,0.73
AAPL,2019-05-10,0.77
AAPL,2019-08-09,0.77
AAPL,2019-11-07,0.77
AAPL,2020-02-07,0.77
AAPL,2020-05-08,0.82
AAPL,2020-08-07,0.82
AAPL,2020-11-06,0.205
AAPL,2021-02-05,0.205
AAPL,2021-05-07,0.22
AAPL,2021-08-06,0.22
AAPL,2021-11-05,0.22
AAPL,2022-02-04,0.22
AAPL,2022-05-06,0.23
AAPL,2022-08-05,0.23
AAPL,2022-11-04,0.23
AAPL,2023-02-10,0.23
AAPL,2023-05-12,0.24
AAPL,2023-08-11,0.24
AAPL,2023-11-10,0.24
AAPL,2024-02-09,0.24
AAPL,2024-05-10,0.25
AAPL,2024-08-12,0.25
AAPL,2024-11-08,0.25
AAPL,2025-02-10,0.25
AAPL,2025-05-12,0.26
AAPL,2025-08-11,0.26
AAPL,2025-11-10,0.26
AAPL,2026-02-09,0.26
AAPL,2026-05-11,0.27
AAPL,2026-08-10,0.27
SPY,2018-03-16,1.096775
SPY,2018-06-15,1.245568
SPY,2018-09-21,1.322611
SPY,2018-12-21,1.435429
SPY,2019-03-15,1.233119
SPY,2019-06-21,1.43164
SPY,2019-09-20,1.383619
SPY,2019-12-20,1.569992
SPY,2020-03-20,1.405559
SPY,2020-06-19,1.366242
SPY,2020-09-18,1.339224
SPY,2020-12-18,1.58
SPY,2021-03-19,1.277788
SPY,2021-06-18,1.375875
SPY,2021-09-17,1.428117
SPY,2021-12-17,1.636431
SPY,2022-03-18,1.366009
SPY,2022-06-17,1.576871
SPY,2022-09-16,1.596398
SPY,2022-12-16,1.7814
SPY,2023-03-17,1.506204
SPY,2023-06-16,1.638367
SPY,2023-09-15,1.583169
SPY,2023-12-15,1.906073
SPY,2024-03-15,1.594937
SPY,2024-06-21,1.759024
SPY,2024-09-20,1.745531
SPY,2024-12-20,1.965548
SPY,2025-03-21,1.695528
SPY,2025-06-20,1.761117
SPY,2025-09-19,1.831114
SPY,2025-12-19,1.993368
SPY,2026-03-20,1.796999
SPY,2026-06-18,1.903516
