act_symbol,ex_date,amount
AAPL,2017-02-09,0.57000
AAPL,2017-05-11,0.63000
AAPL,2017-08-10,0.63000
AAPL,2017-11-10,0.63000
AAPL,2018-02-09,0.63000
AAPL,2018-05-11,0.73000
AAPL,2018-08-10,0.73000
AAPL,2018-11-08,0.73000
AAPL,2019-02-08,0.73000
AAPL,2019-05-10,0.77000
AAPL,2019-08-09,0.77000
AAPL,2019-11-07,0.77000
AAPL,2020-02-07,0.77000
AAPL,2020-05-08,0.82000
AAPL,2020-08-07,0.20500
AAPL,2020-11-06,0.20500
AAPL,2021-02-05,0.20500
AAPL,2021-05-07,0.22000
AAPL,2021-08-06,0.22000
AAPL,2021-11-05,0.22000
AAPL,2022-02-04,0.22000
AAPL,2022-05-06,0.23000
AAPL,2022-08-05,0.23000
AAPL,2022-11-04,0.23000
AAPL,2023-02-10,0.23000
AAPL,2023-05-12,0.24000
AAPL,2023-08-11,0.24000
AAPL,2023-11-10,0.24000
AAPL,2024-02-09,0.24000
AAPL,2024-05-10,0.25000
AAPL,2024-08-12,0.25000
AAPL,2024-11-08,0.25000
AAPL,2025-02-10,0.25000
AAPL,2025-05-12,0.26000
AAPL,2025-08-11,0.26000
AAPL,2025-11-10,0.26000
AAPL,2026-02-09,0.26000
AAPL,2026-05-11,0.27000
AAPL,2026-08-10,0.27000
SPY,2017-03-17,1.03300
SPY,2017-06-16,1.18300
SPY,2017-09-15,1.23500
SPY,2018-03-16,1.09700
SPY,2018-06-15,1.24600
SPY,2018-09-21,1.32300
SPY,2018-12-21,1.43500
SPY,2019-03-15,1.23300
SPY,2019-06-21,1.43200
SPY,2019-09-20,1.38400
SPY,2019-12-20,1.57000
SPY,2020-03-20,1.40600
SPY,2020-06-19,1.36600
SPY,2020-09-18,1.33900
SPY,2020-12-18,1.58000
SPY,2021-03-19,1.27800
SPY,2021-06-18,1.37600
SPY,2021-09-17,1.42800
SPY,2021-12-17,1.63600
SPY,2022-03-18,1.36600
SPY,2022-06-17,1.57700
SPY,2022-09-16,1.59600
SPY,2022-12-16,1.78100
SPY,2023-03-17,1.50600
SPY,2023-06-16,1.63800
SPY,2023-09-15,1.58300
SPY,2023-12-15,1.90600
SPY,2024-03-15,1.59500
SPY,2024-06-21,1.75900
SPY,2024-09-20,1.74553
SPY,2024-12-20,1.96554
SPY,2025-03-21,1.69552
SPY,2025-06-20,1.76111
SPY,2025-09-19,1.83111
SPY,2025-12-19,1.99336
SPY,2026-03-20,1.79699
SPY,2026-06-18,1.90351
