date,act_symbol,open,high,low,close
2018-06-01,AAPL,187.9900,190.2600,187.7500,190.2400
2018-06-04,AAPL,191.6400,193.4200,191.3500,191.8300
2018-06-05,AAPL,193.0700,193.9400,192.3600,193.3100
2018-06-06,AAPL,193.6300,194.0800,191.9200,193.9800
2018-06-07,AAPL,194.1400,194.2000,192.3400,193.4600
2018-06-08,AAPL,191.1700,192.0000,189.7700,191.7000
2018-06-11,AAPL,191.3500,191.9700,190.2100,191.2300
2018-06-12,AAPL,191.3900,192.6100,191.1500,192.2800
2018-06-13,AAPL,192.4200,192.8800,190.4400,190.7000
2018-06-14,AAPL,191.5500,191.5700,190.2200,190.8000
2018-06-15,AAPL,190.0300,190.1600,188.2600,188.8400
2018-06-18,AAPL,187.8800,189.2200,187.2000,188.7400
2018-06-19,AAPL,185.1400,186.3300,183.4500,185.6900
2018-06-20,AAPL,186.3500,187.2000,185.7300,186.5000
2018-06-21,AAPL,187.2500,188.3500,184.9400,185.4600
2018-06-22,AAPL,186.1200,186.1500,184.7000,184.9200
2018-06-25,AAPL,183.4000,184.9200,180.7300,182.1700
2018-06-26,AAPL,182.9900,186.5300,182.5400,184.4300
2018-06-27,AAPL,185.2300,187.2800,184.0300,184.1600
2018-06-28,AAPL,184.1000,186.2100,183.8000,185.5000
2018-06-29,AAPL,186.2900,187.1900,182.9100,185.1100
2018-07-02,AAPL,183.8200,187.3000,183.4200,187.1800
2018-07-03,AAPL,187.7900,187.9500,183.5400,183.9200
2018-07-05,AAPL,185.2600,186.4100,184.2800,185.4000
2018-07-06,AAPL,185.4200,188.4300,185.2000,187.9700
2018-07-09,AAPL,189.5000,190.6800,189.3000,190.5800
2018-07-10,AAPL,190.7100,191.2800,190.1800,190.3500
2018-07-11,AAPL,188.5000,189.7800,187.6100,187.8800
2018-07-12,AAPL,189.5300,191.4100,189.3100,191.0300
2018-07-13,AAPL,191.0800,191.8400,190.9000,191.3300
2018-07-16,AAPL,191.5200,192.6500,190.4200,190.9100
2018-07-17,AAPL,189.7500,191.8700,189.2000,191.4500
2018-07-18,AAPL,191.7800,191.8000,189.9300,190.4000
2018-07-19,AAPL,189.6900,192.5500,189.6900,191.8800
2018-07-20,AAPL,191.7800,192.4300,190.1700,191.4400
2018-07-23,AAPL,190.6800,191.9600,189.5600,191.6100
2018-07-24,AAPL,192.4500,193.6600,192.0500,193.0000
2018-07-25,AAPL,193.0600,194.8500,192.4300,194.8200
2018-07-26,AAPL,194.6100,195.9600,193.6100,194.2100
2018-07-27,AAPL,194.9900,195.1900,190.1000,190.9800
2018-07-30,AAPL,191.9000,192.2000,189.0700,189.9100
2018-07-31,AAPL,190.3000,192.1400,189.3400,190.2900
2018-08-01,AAPL,199.1300,201.7600,197.3100,201.5000
2018-08-02,AAPL,200.5800,208.3800,200.3500,207.3900
2018-08-03,AAPL,207.0300,208.7400,205.4800,207.9900
2018-08-06,AAPL,208.0000,209.2500,207.0700,209.0700
2018-08-07,AAPL,209.3200,209.5000,206.7600,207.1100
2018-08-08,AAPL,206.0500,207.8100,204.5200,207.2500
2018-08-09,AAPL,207.2800,209.7800,207.2000,208.8800
2018-08-10,AAPL,207.3600,209.1000,206.6700,207.5300
2018-08-13,AAPL,207.7000,210.9500,207.7000,208.8700
2018-08-14,AAPL,210.1600,210.5600,208.2600,209.7500
2018-08-15,AAPL,209.2200,210.7400,208.3300,210.2400
2018-08-16,AAPL,211.7500,213.8100,211.4700,213.3200
2018-08-17,AAPL,213.4400,217.9500,213.1600,217.5800
2018-08-20,AAPL,218.1000,219.1800,215.1100,215.4600
2018-08-21,AAPL,216.8000,217.1900,214.0300,215.0400
2018-08-22,AAPL,214.1000,216.3600,213.8400,215.0500
2018-08-23,AAPL,214.6500,217.0500,214.6000,215.4900
2018-08-24,AAPL,216.6000,216.9000,215.1100,216.1600
2018-08-27,AAPL,217.1500,218.7400,216.3300,217.9400
2018-08-28,AAPL,219.0100,220.5400,218.9200,219.7000
2018-08-29,AAPL,220.1500,223.4900,219.4100,222.9800
2018-08-30,AAPL,223.2500,228.2600,222.4000,225.0300
2018-08-31,AAPL,226.5100,228.8700,226.0000,227.6300
2018-09-04,AAPL,228.4100,229.1800,226.6300,228.3600
2018-09-05,AAPL,228.9900,229.6700,225.1000,226.8700
2018-09-06,AAPL,226.2300,227.3500,221.3000,223.1000
2018-09-07,AAPL,221.9400,225.3700,220.7100,221.3000
2018-09-10,AAPL,221.0000,221.8500,216.4700,218.3300
2018-09-11,AAPL,217.9100,224.2990,216.5600,223.8500
2018-09-12,AAPL,224.9700,225.0000,219.8400,221.0700
2018-09-13,AAPL,223.5100,228.3500,222.5700,226.4100
2018-09-14,AAPL,225.5000,226.8400,222.5220,223.8400
2018-09-17,AAPL,222.0000,222.9500,217.2700,217.8800
2018-09-18,AAPL,217.6800,221.8500,217.1200,218.2400
2018-09-19,AAPL,218.5000,219.6200,215.3000,218.3700
2018-09-20,AAPL,220.3200,222.2800,219.1500,220.0300
2018-09-21,AAPL,221.0000,221.3600,217.2900,217.6600
2018-09-24,AAPL,216.7200,221.2600,216.6300,220.7900
2018-09-25,AAPL,219.7300,222.8200,219.7000,222.1900
2018-09-26,AAPL,221.1500,223.7500,219.7600,220.4200
2018-09-27,AAPL,223.9900,226.4400,223.5400,224.9500
2018-09-28,AAPL,224.8000,225.8400,224.0200,225.7400
2018-10-01,AAPL,227.9500,229.4200,226.3500,227.2600
2018-10-02,AAPL,227.2300,230.0000,226.6300,229.2800
2018-10-03,AAPL,230.0500,233.4700,229.7800,232.0700
2018-10-04,AAPL,230.7800,232.3500,226.7300,227.9900
2018-10-05,AAPL,227.9600,228.4100,220.5800,224.2900
2018-10-08,AAPL,222.0600,224.8000,220.2000,223.7700
2018-10-09,AAPL,223.6000,227.2700,222.2460,226.8700
2018-10-10,AAPL,225.5000,226.3500,216.0500,216.3600
2018-10-11,AAPL,214.5300,219.5000,212.3200,214.4500
2018-10-12,AAPL,221.2000,222.8800,216.8400,222.1100
2018-10-15,AAPL,221.0400,221.8300,217.2700,217.3600
2018-10-16,AAPL,218.9300,222.9900,216.7630,222.1500
2018-10-17,AAPL,222.1500,222.6400,219.3400,221.1900
2018-10-18,AAPL,217.8600,219.7400,213.0000,216.0200
2018-10-19,AAPL,218.0400,221.2600,217.4300,219.3100
2018-10-22,AAPL,219.6600,223.3600,218.9400,220.6500
2018-10-23,AAPL,215.5800,223.2500,214.7000,222.7300
2018-10-24,AAPL,222.7000,224.2300,214.5400,215.0900
2018-10-25,AAPL,217.5100,221.3800,216.7500,219.8000
2018-10-26,AAPL,215.9800,220.1900,212.6700,216.3000
2018-10-29,AAPL,219.1900,219.6900,206.0900,212.2400
2018-10-30,AAPL,211.1500,215.1800,209.2700,213.3000
2018-10-31,AAPL,216.9800,220.4500,216.6200,218.8600
2018-11-01,AAPL,219.0300,222.3600,216.8100,218.8600
2018-11-02,AAPL,209.5500,213.6500,205.4300,207.4800
2018-11-05,AAPL,204.3000,204.3900,198.1700,201.5900
2018-11-06,AAPL,201.8200,204.7200,201.6900,201.5900
2018-11-07,AAPL,206.0000,210.0600,204.1300,209.9500
2018-11-08,AAPL,210.0400,210.1200,206.7500,208.4900
2018-11-09,AAPL,205.5500,206.0100,202.2500,204.4700
2018-11-12,AAPL,199.0100,199.8500,193.7900,194.1700
2018-11-13,AAPL,191.7200,197.1800,191.4500,192.2300
2018-11-14,AAPL,193.8200,194.4800,185.9300,186.8000
2018-11-15,AAPL,188.4600,191.9700,186.9000,191.4100
2018-11-16,AAPL,190.5300,194.9700,189.4600,193.5300
2018-11-19,AAPL,190.0000,190.7000,184.9900,185.8600
2018-11-20,AAPL,178.0500,181.4700,175.5100,176.9800
2018-11-21,AAPL,179.5600,180.2700,176.5500,176.7800
2018-11-23,AAPL,174.9600,176.5950,172.1000,172.2900
2018-11-26,AAPL,174.1800,174.9500,170.2600,174.6200
2018-11-27,AAPL,171.4800,174.7700,170.8800,174.2400
2018-11-28,AAPL,176.7400,181.2900,174.9300,180.9400
2018-11-29,AAPL,182.7300,182.8000,177.7000,179.5500
2018-11-30,AAPL,180.3300,180.3300,177.0300,178.5800
2018-12-03,AAPL,184.4500,184.9400,181.2100,184.8200
2018-12-04,AAPL,181.0000,182.3900,176.2700,176.6900
2018-12-06,AAPL,171.7400,174.7800,170.4200,174.7200
2018-12-07,AAPL,173.4500,174.4900,168.3000,168.4900
2018-12-10,AAPL,165.0000,170.0900,163.3300,169.6000
2018-12-11,AAPL,171.6900,171.7900,167.0000,168.6300
2018-12-12,AAPL,170.4000,171.9200,169.0200,169.1000
2018-12-13,AAPL,170.4400,172.5700,169.5500,170.9500
