evaluated_session,train_start,baseline_loss_SPY,model_loss_SPY,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_rmse,model_rmse,model_within_spread,baseline_within_spread,learned_coverage
2023-06-12,2023-01-04,8.999879670689542e-06,1.3601496084297094e-05,2023-06-07,60,6476,65,1.0,8.999879670689542e-06,1.3601496084297094e-05,0.00299997994504789,0.0036880206187461986,0.015384615384615385,0.06153846153846154,1.0
2023-06-14,2023-01-04,1.3493297691158334e-05,1.3898166628348602e-05,2023-06-09,61,6564,90,1.0,1.3493297691158334e-05,1.3898166628348602e-05,0.0036733224322346566,0.003728024494065,0.16666666666666666,0.1,1.0
2023-06-16,2023-01-04,9.091787902776768e-06,9.41355526988345e-06,2023-06-12,62,6629,112,1.0,9.091787902776768e-06,9.41355526988345e-06,0.0030152591767171138,0.00306815176773957,0.09821428571428571,0.08928571428571429,1.0
2023-06-21,2023-01-04,1.0302933279093649e-05,9.270512668211495e-06,2023-06-14,63,6719,102,100.0,1.0302933279093649e-05,9.270512668211495e-06,0.0032098182626269746,0.0030447516595301324,0.0784313725490196,0.049019607843137254,1.0
2023-06-23,2023-01-04,8.599776983253934e-06,7.838854061607433e-06,2023-06-16,64,6831,108,100.0,8.599776983253934e-06,7.838854061607433e-06,0.002932537635436915,0.0027997953606661028,0.05555555555555555,0.009259259259259259,1.0
2023-06-26,2023-01-04,1.0223127923528404e-05,9.849169266532387e-06,2023-06-21,65,6933,90,100.0,1.0223127923528404e-05,9.849169266532387e-06,0.003197362651237486,0.003138338615658353,0.06666666666666667,0.03333333333333333,1.0
2023-06-28,2023-01-04,8.44099279039523e-06,9.304570200117235e-06,2023-06-23,66,7041,97,1.0,8.44099279039523e-06,9.304570200117235e-06,0.0029053386705159227,0.003050339358189058,0.030927835051546393,0.010309278350515464,1.0
2023-06-30,2023-01-04,5.7140367613703005e-06,6.775714231198857e-06,2023-06-26,67,7131,104,0.01,5.7140367613703005e-06,6.775714231198857e-06,0.0023904051458634164,0.002603020213367322,0.0673076923076923,0.009615384615384616,1.0
2023-07-05,2023-01-04,6.198500296917232e-06,6.131841941095689e-06,2023-06-28,68,7228,97,0.01,6.198500296917232e-06,6.131841941095689e-06,0.0024896787537586514,0.0024762556291901064,0.061855670103092786,0.010309278350515464,1.0
2023-07-07,2023-01-04,7.843617580625163e-06,6.745902417139011e-06,2023-06-30,69,7332,109,1.0,7.843617580625163e-06,6.745902417139011e-06,0.0028006459220374794,0.0025972875114509387,0.045871559633027525,0.01834862385321101,1.0
2023-07-10,2023-01-04,7.634934452472566e-06,6.492013533951647e-06,2023-07-05,70,7429,85,1.0,7.634934452472566e-06,6.492013533951647e-06,0.002763138514890733,0.0025479430005303587,0.023529411764705882,0.023529411764705882,1.0
2023-07-12,2023-01-04,1.1852363360441156e-05,9.981497758259423e-06,2023-07-07,71,7538,98,0.01,1.1852363360441156e-05,9.981497758259423e-06,0.003442726152403231,0.0031593508444393167,0.030612244897959183,0.02040816326530612,1.0
2023-07-14,2023-01-04,4.414544912646616e-06,5.704937638725741e-06,2023-07-10,72,7623,99,0.01,4.414544912646616e-06,5.704937638725741e-06,0.002101081843395591,0.0023885011280562,0.2828282828282828,0.10101010101010101,1.0
2023-07-17,2023-01-04,1.0720828046554287e-05,8.814970885731144e-06,2023-07-12,73,7721,88,0.01,1.0720828046554287e-05,8.814970885731144e-06,0.0032742675587914753,0.0029690016648245827,0.10227272727272728,0.045454545454545456,1.0
2023-07-19,2023-01-04,9.450484177189221e-06,7.406108173895333e-06,2023-07-14,74,7820,101,100.0,9.450484177189221e-06,7.406108173895333e-06,0.003074163980204898,0.0027214165748549657,0.0297029702970297,0.019801980198019802,1.0
2023-07-21,2023-01-04,8.055339915020542e-06,6.730796439011237e-06,2023-07-17,75,7908,109,100.0,8.055339915020542e-06,6.730796439011237e-06,0.0028381930721888076,0.0025943778520121615,0.03669724770642202,0.01834862385321101,1.0
2023-07-24,2023-01-04,9.366934333967345e-06,7.5877749368955e-06,2023-07-19,76,8009,91,100.0,9.366934333967345e-06,7.5877749368955e-06,0.0030605447773178135,0.002754591609820864,0.054945054945054944,0.01098901098901099,1.0
2023-07-26,2023-01-04,9.205727293707092e-06,7.942297645320188e-06,2023-07-21,77,8118,97,100.0,9.205727293707092e-06,7.942297645320188e-06,0.003034094147139652,0.0028182082331368254,0.07216494845360824,0.030927835051546393,1.0
2023-07-28,2023-01-04,7.026654564768734e-06,5.695412991169771e-06,2023-07-24,78,8209,105,100.0,7.026654564768734e-06,5.695412991169771e-06,0.002650783764241952,0.0023865064406302723,0.0380952380952381,0.01904761904761905,1.0
2023-07-31,2023-01-04,7.393502369178623e-06,5.819349086385959e-06,2023-07-26,79,8306,89,1.0,7.393502369178623e-06,5.819349086385959e-06,0.0027190995511710532,0.0024123327064038986,0.033707865168539325,0.033707865168539325,1.0
2023-08-02,2023-01-04,1.3608372352294433e-05,5.10383856725051e-06,2023-07-28,80,8411,97,1.0,1.3608372352294433e-05,5.10383856725051e-06,0.003688952744654563,0.0022591676713450267,0.041237113402061855,0.030927835051546393,1.0
2023-08-04,2023-01-04,1.1881355274527388e-05,4.46944547462179e-06,2023-07-31,81,8500,120,100.0,1.1881355274527388e-05,4.46944547462179e-06,0.00344693418482677,0.0021141063063672533,0.041666666666666664,0.016666666666666666,1.0
2023-08-07,2023-01-04,9.696288746970343e-06,4.2130949988245e-06,2023-08-02,82,8597,103,0.01,9.696288746970343e-06,4.2130949988245e-06,0.0031138864377125803,0.002052582519370293,0.019417475728155338,0.019417475728155338,1.0
2023-08-09,2023-01-04,1.3179235411796563e-05,5.199004838165074e-06,2023-08-04,83,8717,95,0.01,1.3179235411796563e-05,5.199004838165074e-06,0.003630321667813551,0.0022801326360905134,0.08421052631578947,0.042105263157894736,1.0
2023-08-11,2023-01-04,7.616548138479715e-06,3.4300836449399304e-06,2023-08-07,84,8820,107,0.01,7.616548138479715e-06,3.4300836449399304e-06,0.0027598094387982146,0.0018520484996187143,0.028037383177570093,0.028037383177570093,1.0
2023-08-14,2023-01-04,7.202424096651675e-06,3.5211386439112784e-06,2023-08-09,85,8915,92,0.01,7.202424096651675e-06,3.5211386439112784e-06,0.0026837332387276637,0.00187646972901544,0.05434782608695652,0.03260869565217391,1.0
2023-08-16,2023-01-04,1.9017050080874023e-05,4.308030074846209e-06,2023-08-11,86,9022,106,0.01,1.9017050080874023e-05,4.308030074846209e-06,0.004360854283380038,0.0020755794551994894,0.05660377358490566,0.0,1.0
2023-08-18,2023-01-04,1.5755238234802675e-05,3.1659736194212794e-06,2023-08-14,87,9114,119,1.0,1.5755238234802675e-05,3.1659736194212794e-06,0.00396928686728519,0.001779318301884539,0.12605042016806722,0.008403361344537815,1.0
2023-08-21,2023-01-04,1.4207145412322674e-05,3.142429068518887e-06,2023-08-16,88,9220,118,1.0,1.4207145412322674e-05,3.142429068518887e-06,0.0037692367148167644,0.0017726897834981978,0.1694915254237288,0.09322033898305085,1.0
2023-08-23,2023-01-04,1.2352549857765522e-05,3.0619501088295704e-06,2023-08-18,89,9339,101,1.0,1.2352549857765522e-05,3.0619501088295704e-06,0.0035146194470761015,0.0017498428811837852,0.3564356435643564,0.22772277227722773,1.0
2023-08-25,2023-01-04,9.619125313399477e-06,2.8857937006073633e-06,2023-08-21,90,9457,111,1.0,9.619125313399477e-06,2.8857937006073633e-06,0.003101471475509565,0.0016987624026353313,0.25225225225225223,0.12612612612612611,1.0
