evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,q_effective_AAPL,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_mse,model_mse,baseline_rmse,model_rmse,rho,d,r_effective,model_within_spread,baseline_within_spread,learned_coverage,baseline_loss_SPY,model_loss_SPY,q_effective_SPY
2020-11-16,2020-01-08,7.377423700914242e-07,7.377423700914242e-07,0.006770920677511319,2020-11-11,120,11060,98,,7.377423700914242e-07,7.377423700914242e-07,7.377423700914242e-07,7.377423700914242e-07,0.0008589193035969236,0.0008589193035969236,0.0,0.0,0.0008995952428360928,0.3673469387755102,0.3673469387755102,0.0,,,
2020-11-18,2020-01-08,4.632687941068846e-07,4.632687941068846e-07,0.006763548035848898,2020-11-13,121,11168,82,,3.6073783550357826e-07,3.6073783550357826e-07,3.6073783550357826e-07,3.6073783550357826e-07,0.0006006145481950785,0.0006006145481950785,0.0,0.0,0.0008995952428360928,0.5,0.5,0.0,2.530803289701067e-07,2.530803289701067e-07,0.01575347179856913
2020-11-20,2020-01-08,3.678195447813496e-07,3.678195447813496e-07,0.006806304787592717,2020-11-16,122,11266,145,,1.0742419195430707e-06,1.0742419195430707e-06,1.0742419195430707e-06,1.0742419195430707e-06,0.0010364564243339276,0.0010364564243339276,0.0,0.0,0.0006997551142733421,0.3310344827586207,0.3310344827586207,0.0,2.9286006532925884e-06,2.9286006532925884e-06,0.015878520319749567
2020-11-23,2020-01-08,8.332433568379473e-07,8.332433568379473e-07,0.006881711266405318,2020-11-18,123,11348,145,,1.5223707189241433e-06,1.5223707189241433e-06,1.5223707189241433e-06,1.5223707189241433e-06,0.0012338438794775226,0.0012338438794775226,0.0,0.0,0.0006997551142733421,0.2827586206896552,0.2827586206896552,0.0,3.3953835492097013e-06,3.3953835492097013e-06,0.015988002701713893
2020-11-25,2020-01-08,1.5913675928631456e-07,1.5913675928631456e-07,0.007011374489884519,2020-11-20,124,11493,80,,1.5637577470115873e-07,1.5637577470115873e-07,1.5637577470115873e-07,1.5637577470115873e-07,0.00039544376932903964,0.00039544376932903964,0.0,0.0,0.000899595242836093,0.525,0.525,0.0,1.5347320116291792e-07,1.5347320116291792e-07,0.015640705357634493
2020-11-27,2020-01-08,2.828527071917874e-07,2.828527071917874e-07,0.0069594070499008846,2020-11-23,125,11638,141,,2.5628770894013396e-07,2.5628770894013396e-07,2.5628770894013396e-07,2.5628770894013396e-07,0.0005062486631489845,0.0005062486631489845,0.0,0.0,0.0008995952428360927,0.425531914893617,0.425531914893617,0.0,1.8428258210012597e-07,1.8428258210012597e-07,0.01566485689075167
2020-11-30,2020-01-08,1.78470200170437e-05,1.78470200170437e-05,0.006925979929668066,2020-11-25,126,11718,67,,8.608752503006025e-06,8.608752503006025e-06,8.608752503006025e-06,8.608752503006025e-06,0.0029340675696046987,0.0029340675696046987,0.0,0.0,0.000899595242836093,0.26865671641791045,0.26865671641791045,0.0,1.118265329461965e-06,1.118265329461965e-06,0.015621351774960815
2020-12-02,2020-01-08,6.06845563728703e-06,6.06845563728703e-06,0.006580019556714471,2020-11-27,127,11859,88,,3.965409585004032e-06,3.965409585004032e-06,3.965409585004032e-06,3.965409585004032e-06,0.0019913336197141937,0.0019913336197141937,0.0,0.0,0.0008995952428360929,0.14772727272727273,0.14772727272727273,0.0,1.3231209552125752e-06,1.3231209552125752e-06,0.015521056226435717
2020-12-04,2020-01-08,2.7205617758274447e-06,2.7205617758274447e-06,0.006568244672197819,2020-11-30,128,11926,66,,2.7205617758274447e-06,2.7205617758274447e-06,2.7205617758274447e-06,2.7205617758274447e-06,0.0016494125547683468,0.0016494125547683468,0.0,0.0,0.0007996801705643322,0.21212121212121213,0.21212121212121213,0.0,,,
2020-12-07,2020-01-08,1.1142633861890987e-06,1.1142633861890987e-06,0.006605316973415134,2020-12-02,129,12014,123,,9.74199096179815e-07,9.74199096179815e-07,9.74199096179815e-07,9.74199096179815e-07,0.000987015246173946,0.000987015246173946,0.0,0.0,0.0008995952428360928,0.4715447154471545,0.4715447154471545,0.0,5.922055779726776e-07,5.922055779726776e-07,0.01536032715965932
2020-12-09,2020-01-08,8.801088616211809e-06,8.801088616211809e-06,0.006492201318539958,2020-12-04,130,12080,56,,3.4746353156795212e-06,3.4746353156795212e-06,3.4746353156795212e-06,3.4746353156795212e-06,0.001864037369711112,0.001864037369711112,0.0,0.0,0.0008995952428360929,0.7321428571428571,0.7321428571428571,0.0,2.8106709452747377e-08,2.8106709452747377e-08,0.015347048653321446
2020-12-11,2020-01-08,8.960853010200138e-07,8.960853010200138e-07,0.006552255761116521,2020-12-07,131,12203,71,,8.960853010200138e-07,8.960853010200138e-07,8.960853010200138e-07,8.960853010200138e-07,0.0009466178220485889,0.0009466178220485889,0.0,0.0,0.0007996801705643321,0.49295774647887325,0.49295774647887325,0.0,,,
2020-12-18,2020-01-08,1.2661745161348959e-06,1.2661745161348959e-06,0.0062742812742812735,2020-12-09,132,12259,129,,3.067405035618117e-06,3.067405035618117e-06,3.067405035618117e-06,3.067405035618117e-06,0.0017514008780453768,0.0017514008780453768,0.0,0.0,0.0007996801705643321,0.3488372093023256,0.3488372093023256,0.0,9.278544757974051e-06,9.278544757974051e-06,0.015261704814098432
2020-12-21,2020-01-08,1.7336630851338999e-06,1.7336630851338999e-06,0.0063755872251391585,2020-12-11,133,12330,138,,2.2671566513699705e-06,2.2671566513699705e-06,2.2671566513699705e-06,2.2671566513699705e-06,0.0015057080232800683,0.0015057080232800683,0.0,0.0,0.0007996801705643322,0.2753623188405797,0.2753623188405797,0.0,3.8990193245626565e-06,3.8990193245626565e-06,0.015415312313776477
2020-12-23,2020-01-08,2.154434977360916e-06,2.154434977360916e-06,0.006122990597512892,2020-12-18,134,12459,64,,2.4152229116047963e-06,2.4152229116047963e-06,2.4152229116047963e-06,2.4152229116047963e-06,0.0015540987457702926,0.0015540987457702926,0.0,0.0,0.0008995952428360929,0.15625,0.15625,0.0,2.64532991240822e-06,2.64532991240822e-06,0.015496745997168064
2020-12-28,2020-01-08,1.3082507621481936e-06,1.3082507621481936e-06,0.006118814882170188,2020-12-21,135,12597,140,,1.1533761511168544e-06,1.1533761511168544e-06,1.1533761511168544e-06,1.1533761511168544e-06,0.0010739535144115198,0.0010739535144115198,0.0,0.0,0.0008995952428360928,0.22857142857142856,0.22857142857142856,0.0,6.30674338886085e-07,6.30674338886085e-07,0.015422831978319783
2020-12-30,2020-01-08,2.236362021545837e-06,2.236362021545837e-06,0.005987246978571956,2020-12-23,136,12661,60,,1.468179134568708e-06,1.468179134568708e-06,1.468179134568708e-06,1.468179134568708e-06,0.0012116844203705467,0.0012116844203705467,0.0,0.0,0.0009995003330835331,0.23333333333333334,0.23333333333333334,0.0,7.495564338481681e-07,7.495564338481681e-07,0.015320694018198463
2021-01-04,2020-01-08,7.728634604243652e-06,7.728634604243652e-06,0.006085613083126086,2020-12-28,137,12801,106,,6.477457067660691e-06,6.477457067660691e-06,6.477457067660691e-06,6.477457067660691e-06,0.0025450848841759074,0.0025450848841759074,0.0,0.0,0.0008995952428360928,0.39622641509433965,0.39622641509433965,0.0,3.3078073083171886e-06,3.3078073083171886e-06,0.015221528297849573
2021-01-06,2020-01-08,4.979021946375062e-06,4.979021946375062e-06,0.0061636516296465944,2020-12-30,138,12861,61,,2.8889056679982414e-06,2.8889056679982414e-06,2.8889056679982414e-06,2.8889056679982414e-06,0.0016996781071715436,0.0016996781071715436,0.0,0.0,0.000899595242836093,0.11475409836065574,0.11475409836065574,0.0,9.947377907192492e-07,9.947377907192492e-07,0.015326057684539358
2021-01-08,2020-01-08,2.8170405022168998e-06,2.8170405022168998e-06,0.006167888787045525,2021-01-04,139,12967,74,,2.8170405022168998e-06,2.8170405022168998e-06,2.8170405022168998e-06,2.8170405022168998e-06,0.001678404153419819,0.001678404153419819,0.0,0.0,0.0008995952428360928,0.33783783783783783,0.33783783783783783,0.0,,,
