evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,q_effective_AAPL,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_mse,model_mse,baseline_rmse,model_rmse,rho,d,r_effective,model_within_spread,baseline_within_spread,learned_coverage,baseline_loss_SPY,model_loss_SPY,q_effective_SPY
2020-11-16,2020-01-08,1.973630434596344e-06,2.867881696252895e-06,0.006770920677511319,2020-11-11,120,11060,98,100.0,1.973630434596344e-06,2.867881696252895e-06,1.973630434596344e-06,2.867881696252895e-06,0.0014048595782484255,0.0016934821216218656,-0.2054458309159224,-8.942512616565511e-07,0.0008995952428360928,0.1836734693877551,0.23469387755102042,1.0,,,
2020-11-18,2020-01-08,2.6264311142855487e-06,2.301330181787836e-06,0.006763548035848898,2020-11-13,121,11168,82,0.01,1.9104410130323155e-06,1.5194458025262437e-06,1.9104410130323155e-06,1.5194458025262437e-06,0.0013821870398149144,0.0012326580233488296,0.1081829102420957,3.9099521050607183e-07,0.0008995952428360928,0.14634146341463414,0.10975609756097561,1.0,1.1586514067164206e-06,6.984672043015718e-07,0.01575347179856913
2020-11-20,2020-01-08,9.67105094359814e-07,2.0584238730230005e-06,0.006806304787592717,2020-11-16,122,11266,145,1.0,2.341742941440015e-06,3.2125087812719125e-06,2.341742941440015e-06,3.2125087812719125e-06,0.0015302754462645002,0.0017923472825521042,-0.17125795027773472,-8.707658398318974e-07,0.0006997551142733421,0.12413793103448276,0.2,1.0,5.950167290025544e-06,6.241981665425305e-06,0.015878520319749567
2020-11-23,2020-01-08,2.3518755118795972e-06,1.432365511851731e-06,0.006881711266405318,2020-11-18,123,11348,145,0.01,1.9453773600128318e-06,1.5053905105764499e-06,1.9453773600128318e-06,1.5053905105764499e-06,0.001394767851655906,0.0012269435645442092,0.12032417216417146,4.399868494363819e-07,0.0006997551142733421,0.296551724137931,0.1793103448275862,1.0,8.405362292980356e-07,1.7038687122385062e-06,0.015988002701713893
2020-11-25,2020-01-08,1.8219450816045747e-06,2.0921923123050747e-06,0.007011374489884519,2020-11-20,124,11493,80,0.01,1.5468764173771836e-06,2.5012745448731966e-06,1.5468764173771836e-06,2.5012745448731966e-06,0.0012437348661902116,0.0015815418252051372,-0.27160689001964733,-9.54398127496013e-07,0.000899595242836093,0.125,0.1625,1.0,1.2577016678047985e-06,2.9313353534704527e-06,0.015640705357634493
2020-11-27,2020-01-08,8.450274253891049e-07,1.4096222990163618e-06,0.0069594070499008846,2020-11-23,125,11638,141,0.01,9.052294584608766e-07,1.388898448297935e-06,9.052294584608766e-07,1.388898448297935e-06,0.0009514354725680962,0.001178515357684377,-0.23867082073716572,-4.836689898370584e-07,0.0008995952428360927,0.1702127659574468,0.28368794326241137,1.0,1.0684086533659408e-06,1.3327259055611456e-06,0.01566485689075167
2020-11-30,2020-01-08,2.079382832500341e-05,1.7328757375157087e-05,0.006925979929668066,2020-11-25,126,11718,67,0.01,9.442483912697757e-06,8.049744061001477e-06,9.442483912697757e-06,8.049744061001477e-06,0.0030728624949219185,0.0028372070881416953,0.0766892131260859,1.3927398516962798e-06,0.000899595242836093,0.3582089552238806,0.4626865671641791,1.0,2.386911459634415e-07,5.262197522266548e-07,0.015621351774960815
2020-12-02,2020-01-08,2.278457796636772e-05,2.0281456628303418e-05,0.006580019556714471,2020-11-27,127,11859,88,0.01,1.2972065948343538e-05,1.175321568645352e-05,1.2972065948343538e-05,1.175321568645352e-05,0.0036016754362856655,0.003428296324189833,0.0481384608810379,1.2188502618900167e-06,0.0008995952428360929,0.11363636363636363,0.07954545454545454,1.0,6.435252077490445e-07,1.0382462979754448e-06,0.015521056226435717
2020-12-04,2020-01-08,2.4010366382389362e-06,4.795603745247557e-06,0.006568244672197819,2020-11-30,128,11926,66,0.01,2.4010366382389362e-06,4.795603745247557e-06,2.4010366382389362e-06,4.795603745247557e-06,0.0015495278759154146,0.002189886696897252,-0.41326060081593075,-2.394567107008621e-06,0.0007996801705643322,0.13636363636363635,0.2727272727272727,1.0,,,
2020-12-07,2020-01-08,1.3359343030491078e-06,1.1348902857486473e-06,0.006605316973415134,2020-12-02,129,12014,123,0.01,1.4439167114269273e-06,1.2799330236079027e-06,1.4439167114269273e-06,1.2799330236079027e-06,0.0012016308548913545,0.0011313412498481184,0.058495173253179544,1.6398368781902458e-07,0.0008995952428360928,0.3902439024390244,0.4065040650406504,1.0,1.73841418882098e-06,1.6755041268604182e-06,0.01536032715965932
2020-12-09,2020-01-08,1.0735598175639772e-05,1.0853833881197402e-05,0.006492201318539958,2020-12-04,130,12080,56,0.01,4.234621214026222e-06,4.790070820217574e-06,4.234621214026222e-06,4.790070820217574e-06,0.0020578195290224606,0.0021886230420557974,-0.06356413241712855,-5.554496061913519e-07,0.0008995952428360929,0.5357142857142857,0.7321428571428571,1.0,2.8106709452747377e-08,8.66459427818859e-07,0.015347048653321446
