evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,q_effective_AAPL,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_mse,model_mse,baseline_rmse,model_rmse,rho,d,r_effective,model_within_spread,baseline_within_spread,learned_coverage,baseline_loss_SPY,model_loss_SPY,q_effective_SPY
2020-11-23,2020-01-08,2.5179475570880684e-08,2.5179475570880684e-08,0.0068817112664053175,2020-11-18,123,11348,1,,2.5179475570880684e-08,2.5179475570880684e-08,2.5179475570880684e-08,2.5179475570880684e-08,0.00015868041962031952,0.00015868041962031952,0.0,0.0,0.000699755114273342,0.0,0.0,0.0,,,
2020-11-27,2020-01-08,1.5737127057551072e-09,1.5737127057551072e-09,0.006959407049900887,2020-11-23,125,11638,1,,1.5737127057551072e-09,1.5737127057551072e-09,1.5737127057551072e-09,1.5737127057551072e-09,3.9670047967643134e-05,3.9670047967643134e-05,0.0,0.0,0.000899595242836093,1.0,1.0,0.0,,,
2020-12-30,2020-01-08,,,,2020-12-23,136,12661,1,,3.7212451596506797e-09,3.7212451596506797e-09,3.7212451596506797e-09,3.7212451596506797e-09,6.1002009472235255e-05,6.1002009472235255e-05,0.0,0.0,0.0009995003330835331,0.0,0.0,0.0,3.7212451596506797e-09,3.7212451596506797e-09,0.015320694018198461
2021-01-27,2020-01-08,,,,2021-01-22,145,13677,1,,4.8201744651049126e-08,4.8201744651049126e-08,4.8201744651049126e-08,4.8201744651049126e-08,0.00021954895729893396,0.00021954895729893396,0.0,0.0,0.000699755114273342,0.0,0.0,0.0,4.8201744651049126e-08,4.8201744651049126e-08,0.014828486932958128
2021-02-05,2020-01-08,8.409430826756123e-08,8.409430826756123e-08,0.005877429216100153,2021-02-01,149,14183,1,,8.409430826756123e-08,8.409430826756123e-08,8.409430826756123e-08,8.409430826756123e-08,0.00028999018650216636,0.00028999018650216636,0.0,0.0,0.0003999200213269354,0.0,0.0,0.0,,,
2021-02-08,2020-01-08,9.963291100936666e-08,9.963291100936666e-08,0.005995905235448962,2021-02-03,150,14261,1,,9.963291100936666e-08,9.963291100936666e-08,9.963291100936666e-08,9.963291100936666e-08,0.0003156468137164807,0.0003156468137164807,0.0,0.0,0.00029995500899797546,1.0,1.0,0.0,,,
2021-02-12,2020-01-08,2.219779282278248e-07,2.219779282278248e-07,0.006068230592762525,2021-02-08,152,14519,1,,2.219779282278248e-07,2.219779282278248e-07,2.219779282278248e-07,2.219779282278248e-07,0.00047114533662960604,0.00047114533662960604,0.0,0.0,0.000499875041651048,1.0,1.0,0.0,,,
2021-02-19,2020-01-08,1.2246278820518562e-06,1.2246278820518562e-06,0.006321794772955053,2021-02-12,154,14677,1,,1.2246278820518562e-06,1.2246278820518562e-06,1.2246278820518562e-06,1.2246278820518562e-06,0.0011066290625371521,0.0011066290625371521,0.0,0.0,0.00029995500899797546,0.0,0.0,0.0,,,
2021-03-22,2020-01-08,1.958163204987613e-05,1.958163204987613e-05,0.006833902825235436,2021-03-12,165,15779,1,,1.958163204987613e-05,1.958163204987613e-05,1.958163204987613e-05,1.958163204987613e-05,0.004425113789483399,0.004425113789483399,0.0,0.0,9.999500033330834e-05,0.0,0.0,0.0,,,
2021-03-29,2020-01-08,5.081645164227981e-07,5.081645164227981e-07,0.006765118389571817,2021-03-24,168,16090,2,,5.081645164227981e-07,5.081645164227981e-07,5.081645164227981e-07,5.081645164227981e-07,0.0007128565889593769,0.0007128565889593769,0.0,0.0,0.00019998000266626675,0.0,0.0,0.0,,,
2021-04-12,2020-01-08,,,,2021-04-07,173,16474,1,,1.3743204797639036e-08,1.3743204797639036e-08,1.3743204797639036e-08,1.3743204797639036e-08,0.00011723141557466171,0.00011723141557466171,0.0,0.0,0.00019998000266626675,0.0,0.0,0.0,1.3743204797639036e-08,1.3743204797639036e-08,0.013519779338501542
2021-04-16,2020-01-08,1.4033763636449943e-06,1.4033763636449943e-06,0.006096654275092936,2021-04-09,174,16527,1,,1.4033763636449943e-06,1.4033763636449943e-06,1.4033763636449943e-06,1.4033763636449943e-06,0.0011846418714721316,0.0011846418714721316,0.0,0.0,0.00019998000266626675,0.0,0.0,0.0,,,
2021-04-19,2020-01-08,1.0914761456616148e-08,1.0914761456616148e-08,0.0061121049493142515,2021-04-12,175,16647,1,,1.0914761456616148e-08,1.0914761456616148e-08,1.0914761456616148e-08,1.0914761456616148e-08,0.0001044737357263353,0.0001044737357263353,0.0,0.0,0.00019998000266626675,1.0,1.0,0.0,,,
2021-04-26,2020-01-08,4.7216055557175853e-07,4.7216055557175853e-07,0.006104824300178678,2021-04-21,178,16985,4,,4.7216055557175853e-07,4.7216055557175853e-07,4.7216055557175853e-07,4.7216055557175853e-07,0.0006871394003924957,0.0006871394003924957,0.0,0.0,0.00029995500899797546,0.0,0.0,0.0,,,
2021-04-28,2020-01-08,5.5152040010742346e-06,5.5152040010742346e-06,0.0061016444675943155,2021-04-23,179,17129,1,,5.5152040010742346e-06,5.5152040010742346e-06,5.5152040010742346e-06,5.5152040010742346e-06,0.0023484471467491524,0.0023484471467491524,0.0,0.0,9.999500033330834e-05,0.0,0.0,0.0,,,
2021-05-07,2020-01-08,1.1321186882033553e-07,1.1321186882033553e-07,0.006320332973639586,2021-05-03,183,17526,1,,1.1321186882033553e-07,1.1321186882033553e-07,1.1321186882033553e-07,1.1321186882033553e-07,0.0003364697145663121,0.0003364697145663121,0.0,0.0,0.00019998000266626675,0.0,0.0,0.0,,,
2021-05-21,2020-01-08,6.619908131481807e-06,6.619908131481807e-06,0.006558793496190401,2021-05-17,187,17860,2,,3.565004437962305e-06,3.565004437962305e-06,3.565004437962305e-06,3.565004437962305e-06,0.0018881219340821994,0.0018881219340821994,0.0,0.0,9.999500033330834e-05,0.5,0.5,0.0,5.101007444428034e-07,5.101007444428034e-07,0.0133963927952225
