evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,q_effective_AAPL,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_mse,model_mse,baseline_rmse,model_rmse,rho,d,r_effective,model_within_spread,baseline_within_spread,learned_coverage,baseline_loss_SPY,model_loss_SPY,q_effective_SPY
2020-11-16,2020-01-08,7.377423700914242e-07,1.587875558247017e-06,0.006770920677511319,2020-11-11,120,11060,98,0.01,7.377423700914242e-07,1.587875558247017e-06,7.377423700914242e-07,1.587875558247017e-06,0.0008589193035969236,0.001260109343766253,-0.4670869993132687,-8.501331881555928e-07,0.0008995952428360928,0.20408163265306123,0.3673469387755102,1.0,,,
2020-11-18,2020-01-08,4.632687941068846e-07,1.136347030619219e-06,0.006763548035848898,2020-11-13,121,11168,82,100.0,3.6073783550357826e-07,7.532951503968766e-07,3.6073783550357826e-07,7.532951503968766e-07,0.0006006145481950785,0.0008679257747047708,-0.44506285655749744,-3.925573148932983e-07,0.0008995952428360928,0.36585365853658536,0.5,1.0,2.530803289701067e-07,3.5109067616341777e-07,0.01575347179856913
2020-11-20,2020-01-08,3.678195447813496e-07,1.5231677736915007e-06,0.006806304787592717,2020-11-16,122,11266,145,100.0,1.0742419195430707e-06,2.0886543518632957e-06,1.0742419195430707e-06,2.0886543518632957e-06,0.0010364564243339276,0.0014452177524038707,-0.3943835152863575,-1.014412432320225e-06,0.0006997551142733421,0.14482758620689656,0.3310344827586207,1.0,2.9286006532925884e-06,3.5730566195642586e-06,0.015878520319749567
2020-11-23,2020-01-08,8.332433568379473e-07,8.945380201719675e-07,0.006881711266405318,2020-11-18,123,11348,145,100.0,1.5223707189241433e-06,1.4568163485819866e-06,1.5223707189241433e-06,1.4568163485819866e-06,0.0012338438794775226,0.0012069864740675376,0.021767263959973526,6.555437034215676e-08,0.0006997551142733421,0.2,0.2827586206896552,1.0,3.3953835492097013e-06,2.985060010414347e-06,0.015988002701713893
2020-11-25,2020-01-08,1.5913675928631456e-07,2.1379859502830073e-07,0.007011374489884519,2020-11-20,124,11493,80,100.0,1.5637577470115873e-07,3.957116049452501e-07,1.5637577470115873e-07,3.957116049452501e-07,0.00039544376932903964,0.0006290561222540085,-0.590759979152903,-2.393358302440914e-07,0.000899595242836093,0.3875,0.525,1.0,1.5347320116291792e-07,5.869534871656328e-07,0.015640705357634493
2020-11-27,2020-01-08,2.828527071917874e-07,6.889296129964485e-07,0.0069594070499008846,2020-11-23,125,11638,141,100.0,2.5628770894013396e-07,5.96335652131028e-07,2.5628770894013396e-07,5.96335652131028e-07,0.0005062486631489845,0.0007722277203850092,-0.5253921177422438,-3.4004794319089405e-07,0.0008995952428360927,0.36879432624113473,0.425531914893617,1.0,1.8428258210012597e-07,3.4535728452212494e-07,0.01566485689075167
2020-11-30,2020-01-08,1.78470200170437e-05,1.4162087809867986e-05,0.006925979929668066,2020-11-25,126,11718,67,100.0,8.608752503006025e-06,7.078137818733801e-06,8.608752503006025e-06,7.078137818733801e-06,0.0029340675696046987,0.0026604769908296147,0.09324617524467727,1.5306146842722234e-06,0.000899595242836093,0.23880597014925373,0.26865671641791045,1.0,1.118265329461965e-06,1.3343945826790565e-06,0.015621351774960815
2020-12-02,2020-01-08,6.06845563728703e-06,6.623499297211824e-06,0.006580019556714471,2020-11-27,127,11859,88,100.0,3.965409585004032e-06,4.036773796863755e-06,3.965409585004032e-06,4.036773796863755e-06,0.0019913336197141937,0.0020091724159125206,-0.008958215751355247,-7.136421185972293e-08,0.0008995952428360929,0.056818181818181816,0.14772727272727273,1.0,1.3231209552125752e-06,7.867853477084877e-07,0.015521056226435717
2020-12-04,2020-01-08,2.7205617758274447e-06,4.75571927851255e-06,0.006568244672197819,2020-11-30,128,11926,66,0.01,2.7205617758274447e-06,4.75571927851255e-06,2.7205617758274447e-06,4.75571927851255e-06,0.0016494125547683468,0.0021807611695260328,-0.32214415563989185,-2.035157502685105e-06,0.0007996801705643322,0.18181818181818182,0.21212121212121213,1.0,,,
2020-12-07,2020-01-08,1.1142633861890987e-06,1.2197061170970825e-06,0.006605316973415134,2020-12-02,129,12014,123,0.01,9.74199096179815e-07,1.0312744522128247e-06,9.74199096179815e-07,1.0312744522128247e-06,0.000987015246173946,0.0010155168399454658,-0.028876548647047695,-5.707535603300974e-08,0.0008995952428360928,0.6016260162601627,0.4715447154471545,1.0,5.922055779726776e-07,5.173699116193935e-07,0.01536032715965932
2020-12-09,2020-01-08,8.801088616211809e-06,8.499264313494874e-06,0.006492201318539958,2020-12-04,130,12080,56,0.01,3.4746353156795212e-06,3.5189527264785774e-06,3.4746353156795212e-06,3.5189527264785774e-06,0.001864037369711112,0.0018758871838355784,-0.006357068971371005,-4.4317410799056145e-08,0.0008995952428360929,0.5535714285714286,0.7321428571428571,1.0,2.8106709452747377e-08,2.9639817017391435e-07,0.015347048653321446
2020-12-11,2020-01-08,8.960853010200138e-07,1.3118943768540852e-06,0.006552255761116521,2020-12-07,131,12203,71,0.01,8.960853010200138e-07,1.3118943768540852e-06,8.960853010200138e-07,1.3118943768540852e-06,0.0009466178220485889,0.0011453795776309639,-0.20997043469161802,-4.1580907583407133e-07,0.0007996801705643321,0.49295774647887325,0.49295774647887325,1.0,,,
2020-12-18,2020-01-08,1.2661745161348959e-06,1.294198327964961e-06,0.0062742812742812735,2020-12-09,132,12259,129,100.0,3.067405035618117e-06,2.9834946428960733e-06,3.067405035618117e-06,2.9834946428960733e-06,0.0017514008780453768,0.0017272795497243847,0.013772591200201023,8.391039272204366e-08,0.0007996801705643321,0.4186046511627907,0.3488372093023256,1.0,9.278544757974051e-06,8.80865434955508e-06,0.015261704814098432
