evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,q_effective_AAPL,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_mse,model_mse,baseline_rmse,model_rmse,rho,d,r_effective,model_within_spread,baseline_within_spread,learned_coverage,baseline_loss_SPY,model_loss_SPY,q_effective_SPY
2020-11-16,2020-01-08,0.07561607679452384,0.0008898271615349748,0.006770920677511319,2020-11-11,120,11060,98,0.01,0.07561607679452384,0.0008898271615349748,0.07561607679452384,0.0008898271615349748,0.27498377551143605,0.029829970860444616,0.8915209786287772,0.07472624963298886,0.0008995952428360928,0.0,0.0,1.0,,,
2020-11-18,2020-01-08,0.11871785660799532,0.0013284382899478558,0.006763548035848898,2020-11-13,121,11168,82,0.01,0.060814117085567276,0.0006858630879899506,0.060814117085567276,0.0006858630879899506,0.24660518462831896,0.026188987914578726,0.8938019573511785,0.060128253997577326,0.0008995952428360928,0.07317073170731707,0.024390243902439025,1.0,1.5190587017812018e-05,1.115912593415037e-05,0.01575347179856913
2020-11-20,2020-01-08,0.07434481340096716,0.0008240665892385934,0.006806304787592717,2020-11-16,122,11266,145,1.0,0.053839797834241726,0.0006009374355028204,0.053839797834241726,0.0006009374355028204,0.2320340445586417,0.0245140252815163,0.8943516011706597,0.05323886039873891,0.0006997551142733421,0.0,0.0,1.0,1.4131971587474703e-05,1.5223406946416457e-05,0.015878520319749567
2020-11-23,2020-01-08,0.0693880012771004,0.0007147723104123539,0.0068817112664053175,2020-11-18,123,11348,144,0.01,0.05059908172453362,0.0005246690653342078,0.05059908172453362,0.0005246690653342078,0.2249423964585903,0.02290565574992796,0.898171015733156,0.05007441265919941,0.0006997551142733421,0.041666666666666664,0.006944444444444444,1.0,1.3529083007677695e-05,1.2852636277660878e-05,0.015988002701713893
2020-11-25,2020-01-08,0.00016554335617161248,1.1128313085614631e-05,0.007011374489884519,2020-11-20,124,11493,80,0.01,9.191022645435914e-05,1.2059697086594674e-05,9.191022645435914e-05,1.2059697086594674e-05,0.009586982134872222,0.003472707457675448,0.6377684438313879,7.985052936776446e-05,0.000899595242836093,0.15,0.0625,1.0,1.45010388028877e-05,1.3038844369676252e-05,0.015640705357634493
2020-11-27,2020-01-08,0.00010430090662637463,1.7934119542548394e-05,0.006959407049900885,2020-11-23,125,11638,140,0.01,7.935075087437367e-05,1.606305914709338e-05,7.935075087437367e-05,1.606305914709338e-05,0.008907903842901183,0.0040078746421380726,0.5500765710069944,6.328769172728029e-05,0.0008995952428360928,0.07142857142857142,0.03571428571428571,1.0,1.237928017163425e-05,1.1040739138240453e-05,0.01566485689075167
2020-11-30,2020-01-08,7.487505783177023e-05,1.5110922187577714e-05,0.006925979929668066,2020-11-25,126,11718,67,0.01,4.034560094262291e-05,1.134446941254058e-05,4.034560094262291e-05,1.134446941254058e-05,0.006351818711410371,0.0033681551942481183,0.4697337333955103,2.9001131530082326e-05,0.000899595242836093,0.34328358208955223,0.23880597014925373,1.0,1.2348744005476418e-05,8.290588784132086e-06,0.015621351774960815
2020-12-02,2020-01-08,3.523960842695654e-05,8.193044896671797e-06,0.006580019556714471,2020-11-27,127,11859,88,0.01,2.3172531130462962e-05,6.790942877309884e-06,2.3172531130462962e-05,6.790942877309884e-06,0.0048137855301688464,0.002605943759429563,0.45864980001754296,1.638158825315308e-05,0.0008995952428360929,0.10227272727272728,0.045454545454545456,1.0,8.01133145025308e-06,5.0293275196500426e-06,0.015521056226435717
2020-12-04,2020-01-08,2.0321694913396453e-05,1.353046311233991e-05,0.006568244672197819,2020-11-30,128,11926,66,0.01,2.0321694913396453e-05,1.353046311233991e-05,2.0321694913396453e-05,1.353046311233991e-05,0.004507959062968124,0.0036783777827107305,0.18402591254038192,6.791231801056543e-06,0.0007996801705643322,0.12121212121212122,0.16666666666666666,1.0,,,
2020-12-07,2020-01-08,1.424485528507163e-05,1.1761425502170815e-05,0.006605316973415134,2020-12-02,129,12014,123,0.01,1.2521880797854068e-05,1.0791348064061408e-05,1.2521880797854068e-05,1.0791348064061408e-05,0.003538626965060611,0.0032850187311583793,0.07166854161410252,1.7305327337926609e-06,0.0008995952428360928,0.24390243902439024,0.22764227642276422,1.0,7.822859469078893e-06,8.145682323763031e-06,0.01536032715965932
2020-12-09,2020-01-08,1.0365004593607102e-05,2.0668511830861686e-05,0.006492201318539958,2020-12-04,130,12080,56,1.0,8.895031730258622e-06,1.1790562188039862e-05,8.895031730258622e-06,1.1790562188039862e-05,0.0029824539778944823,0.0034337388060305144,-0.15131325796840112,-2.89553045778124e-06,0.0008995952428360929,0.375,0.35714285714285715,1.0,7.943872818680195e-06,6.04600653680221e-06,0.015347048653321446
2020-12-11,2020-01-08,5.184319219265182e-06,4.359486376246117e-06,0.006552255761116521,2020-12-07,131,12203,71,1.0,5.184319219265182e-06,4.359486376246117e-06,5.184319219265182e-06,4.359486376246117e-06,0.002276910015627579,0.0020879383075766674,0.08299480732831066,8.24832843019065e-07,0.0007996801705643321,0.29577464788732394,0.23943661971830985,1.0,,,
2020-12-18,2020-01-08,1.4273058733646978e-05,3.523992943148181e-05,0.0062742812742812735,2020-12-09,132,12259,129,0.01,2.0685933816800398e-05,3.547974586688512e-05,2.0685933816800398e-05,3.547974586688512e-05,0.004548179175978053,0.005956487712308749,-0.3096422726195369,-1.479381205008472e-05,0.0007996801705643321,0.3023255813953488,0.2248062015503876,1.0,4.279929617250187e-05,3.630669909241378e-05,0.015261704814098432
2020-12-21,2020-01-08,1.7861729934077287e-05,4.02728401463229e-05,0.0063755872251391585,2020-12-11,133,12330,138,0.01,2.6598841608896623e-05,3.420659487107485e-05,2.6598841608896623e-05,3.420659487107485e-05,0.005157406480867746,0.005848640429285668,-0.13402743238916104,-7.607753262178225e-06,0.0007996801705643322,0.2391304347826087,0.2028985507246377,1.0,5.332412437893224e-05,1.5651021087963163e-05,0.015415312313776477
2020-12-23,2020-01-08,4.277091766142298e-05,9.25130985225458e-05,0.006122990597512892,2020-12-18,134,12459,64,100.0,3.840485138980247e-05,5.427524669632224e-05,3.840485138980247e-05,5.427524669632224e-05,0.00619716478640051,0.0073671735893979205,-0.18879743291076578,-1.5870395306519773e-05,0.0008995952428360929,0.078125,0.0,1.0,3.455243997366673e-05,2.053596567318385e-05,0.015496745997168064
2020-12-28,2020-01-08,1.3412131346780306e-05,2.3797279970594704e-05,0.006118814882170188,2020-12-21,135,12597,140,100.0,1.6902562238874437e-05,2.3419356655967384e-05,1.6902562238874437e-05,2.3419356655967384e-05,0.004111272581436852,0.0048393549834629184,-0.17709416916637744,-6.516794417092947e-06,0.0008995952428360928,0.25,0.12142857142857143,1.0,2.8682766499692135e-05,2.2143865469100176e-05,0.015422831978319783
2020-12-30,2020-01-08,2.906563812423553e-05,5.79598160880017e-05,0.005987246978571956,2020-12-23,136,12661,59,100.0,2.7813808622192103e-05,3.528003768103234e-05,2.7813808622192103e-05,3.528003768103234e-05,0.005273879845255493,0.005939700133932044,-0.12624866478054853,-7.466229058840237e-06,0.0009995003330835331,0.1016949152542373,0.0847457627118644,1.0,2.6603706770216787e-05,1.3356251887628628e-05,0.015320694018198463
2021-01-04,2020-01-08,3.5307176634203574e-05,2.951021499646052e-05,0.006085613083126086,2020-12-28,137,12801,106,100.0,3.980018727597758e-05,2.4458575420943206e-05,3.980018727597758e-05,2.4458575420943206e-05,0.006308738960836594,0.004945561183621451,0.2160776956658822,1.5341611855034375e-05,0.0008995952428360928,0.3584905660377358,0.3018867924528302,1.0,5.1182480901805044e-05,1.166108849629935e-05,0.015221528297849573
2021-01-06,2020-01-08,4.944305458800309e-05,5.865480487378993e-05,0.0061636516296465944,2020-12-30,138,12861,61,100.0,4.431573867249608e-05,3.4829998103727056e-05,4.431573867249608e-05,3.4829998103727056e-05,0.006657006735199844,0.0059016945112168465,0.1134612377645916,9.485740568769023e-06,0.000899595242836093,0.06557377049180328,0.0,1.0,3.966910862406786e-05,1.3238766968357572e-05,0.015326057684539358
2021-01-08,2020-01-08,2.345807782322982e-05,1.781397057942464e-05,0.006167888787045525,2021-01-04,139,12967,74,100.0,2.345807782322982e-05,1.781397057942464e-05,2.345807782322982e-05,1.781397057942464e-05,0.004843353984918903,0.004220659969652216,0.12856669514671326,5.644107243805178e-06,0.0008995952428360928,0.25675675675675674,0.20270270270270271,1.0,,,
2021-01-11,2020-01-08,6.269074412819117e-05,5.002170116992218e-05,0.0061151079136690665,2021-01-06,140,13028,161,100.0,5.785430441429178e-05,4.207965490438442e-05,5.785430441429178e-05,4.207965490438442e-05,0.007606201707441881,0.006486883296652131,0.14715865471916323,1.577464950990736e-05,0.0007996801705643322,0.16770186335403728,0.049689440993788817,1.0,3.978877960060876e-05,1.2413776206640495e-05,0.01492688716361538
2021-01-15,2020-01-08,6.286056084456453e-05,5.573514511570463e-05,0.0062640601970366935,2021-01-08,141,13102,170,100.0,6.31112619422379e-05,4.734963711022283e-05,6.31112619422379e-05,4.734963711022283e-05,0.00794425968496989,0.006881107259026183,0.13382649461410911,1.5761624832015074e-05,0.0008995952428360928,0.11764705882352941,0.023529411764705882,1.0,6.41520513477304e-05,1.2537073572313544e-05,0.015037322306188237
2021-01-20,2020-01-08,6.833726631236426e-05,7.878580988848679e-05,0.0063169834937025745,2021-01-11,142,13263,82,100.0,5.177859734382771e-05,4.878953559671336e-05,5.177859734382771e-05,4.878953559671336e-05,0.007195734663245144,0.006984950650986259,0.02929291060932837,2.989061747114354e-06,0.0008995952428360928,0.08536585365853659,0.10975609756097561,1.0,3.352160335287718e-05,1.5716720351937517e-05,0.015029776838769307
2021-01-22,2020-01-08,6.973590691151805e-05,7.26263832364973e-05,0.005899758895302112,2021-01-15,143,13433,162,100.0,5.991056050556185e-05,5.704302863873289e-05,5.991056050556185e-05,5.704302863873289e-05,0.007740191244766621,0.007552683538897475,0.02422520322038879,2.867531866828965e-06,0.0008995952428360929,0.13580246913580246,0.12962962962962962,1.0,3.183814220282986e-05,1.2519158359405995e-05,0.014811120653758069
2021-01-25,2020-01-08,0.0001351602826548063,0.00012916905376576077,0.005806428417343786,2021-01-20,144,13515,165,100.0,0.0001093354664259415,9.775537869698953e-05,0.0001093354664259415,9.775537869698953e-05,0.010456360094504277,0.009887131975299487,0.054438457939485874,1.1580087728951973e-05,0.0007996801705643323,0.12727272727272726,0.06060606060606061,1.0,3.606505759055759e-05,8.628207571638488e-06,0.014863730150438778
2021-01-27,2020-01-08,0.0002571620175402832,0.0002629529648139492,0.005640542050852193,2021-01-22,145,13677,73,100.0,0.00024317064383141534,0.00016079529972250754,0.00024317064383141534,0.00016079529972250754,0.015593929710993805,0.012680508653934492,0.1868304597400703,8.23753441089078e-05,0.0006997551142733421,0.1506849315068493,0.1095890410958904,1.0,0.00023225054727815257,8.106248794382132e-05,0.014828486932958126
2021-01-29,2020-01-08,0.00014542751663087206,9.518660622149562e-05,0.005890291049675396,2021-01-25,146,13842,97,100.0,0.00014542751663087206,9.518660622149562e-05,0.00014542751663087206,9.518660622149562e-05,0.012059333175216284,0.009756362345746268,0.19096999776098422,5.024091040937645e-05,0.0006997551142733421,0.13402061855670103,0.061855670103092786,1.0,,,
2021-02-01,2020-01-08,3.563030391010591e-05,1.7439840585517628e-05,0.006119278569263415,2021-01-27,147,13916,170,100.0,5.4569461087576295e-05,1.60092454561343e-05,5.4569461087576295e-05,1.60092454561343e-05,0.007387114530557672,0.00400115551511489,0.4583601623389434,3.856021563144199e-05,0.0005998200719676154,0.07647058823529412,0.0058823529411764705,1.0,0.00010880432027760512,1.1912541221991112e-05,0.0153782392520334
