evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,q_effective_AAPL,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_mse,model_mse,baseline_rmse,model_rmse,rho,d,r_effective,model_within_spread,baseline_within_spread,learned_coverage,baseline_loss_SPY,model_loss_SPY,q_effective_SPY
2020-11-23,2020-01-08,0.019905491179226575,1.1946086160393648e-05,0.0068817112664053175,2020-11-18,123,11348,1,0.01,0.019905491179226575,1.1946086160393648e-05,0.019905491179226575,1.1946086160393648e-05,0.14108682142293297,0.00345631106244702,0.9755022401979976,0.019893545093066182,0.000699755114273342,0.0,0.0,1.0,,,
2020-11-27,2020-01-08,5.054937203977511e-05,2.6381604364209314e-06,0.006959407049900887,2020-11-23,125,11638,1,0.01,5.054937203977511e-05,2.6381604364209314e-06,5.054937203977511e-05,2.6381604364209314e-06,0.0071098081577335905,0.0016242414957206737,0.7715491811190534,4.791121160335418e-05,0.000899595242836093,0.0,0.0,1.0,,,
2020-12-30,2020-01-08,,,,2020-12-23,136,12661,1,100.0,1.4145728752368602e-08,2.2745887522771437e-06,1.4145728752368602e-08,2.2745887522771437e-06,0.00011893581778576462,0.0015081739794457216,-11.680570138781476,-2.2604430235247753e-06,0.0009995003330835331,0.0,0.0,1.0,1.4145728752368602e-08,2.2745887522771437e-06,0.015320694018198461
2021-01-27,2020-01-08,,,,2021-01-22,145,13677,1,100.0,7.584630283437383e-08,1.2065908444837073e-07,7.584630283437383e-08,1.2065908444837073e-07,0.00027540207485488163,0.0003473601653160171,-0.26128376301831624,-4.4812781613996904e-08,0.000699755114273342,0.0,0.0,1.0,7.584630283437383e-08,1.2065908444837073e-07,0.014828486932958128
2021-02-05,2020-01-08,1.2649348139140285e-06,1.9790089571325414e-06,0.005877429216100153,2021-02-01,149,14183,1,100.0,1.2649348139140285e-06,1.9790089571325414e-06,1.2649348139140285e-06,1.9790089571325414e-06,0.0011246932087969716,0.0014067725321218571,-0.25080557179376206,-7.140741432185129e-07,0.0003999200213269354,0.0,0.0,1.0,,,
2021-02-08,2020-01-08,1.8667278974443135e-05,1.2333891511069317e-05,0.005995905235448962,2021-02-03,150,14261,1,100.0,1.8667278974443135e-05,1.2333891511069317e-05,1.8667278974443135e-05,1.2333891511069317e-05,0.004320564659213323,0.003511964053214286,0.18715160396332653,6.333387463373818e-06,0.00029995500899797546,0.0,0.0,1.0,,,
2021-02-12,2020-01-08,2.9859813120132867e-05,2.4739541459882905e-08,0.006068230592762525,2021-02-08,152,14519,1,0.01,2.9859813120132867e-05,2.4739541459882905e-08,2.9859813120132867e-05,2.4739541459882905e-08,0.005464413337233272,0.00015728808429084164,0.9712159248241496,2.9835073578672985e-05,0.000499875041651048,1.0,0.0,1.0,,,
2021-02-19,2020-01-08,8.800738505525542e-06,3.330496691769406e-05,0.006321794772955053,2021-02-12,154,14677,1,0.01,8.800738505525542e-06,3.330496691769406e-05,8.800738505525542e-06,3.330496691769406e-05,0.002966603867307791,0.005771045565380164,-0.9453374375249566,-2.450422841216852e-05,0.00029995500899797546,0.0,0.0,1.0,,,
2021-03-22,2020-01-08,7.751991570540878e-06,2.8307238404319376e-06,0.006833902825235436,2021-03-12,165,15779,1,100.0,7.751991570540878e-06,2.8307238404319376e-06,7.751991570540878e-06,2.8307238404319376e-06,0.0027842398550665276,0.001682475509608368,0.39571459457893354,4.9212677301089406e-06,9.999500033330834e-05,0.0,0.0,1.0,,,
2021-03-29,2020-01-08,5.750836276943922e-06,1.7460514755136183e-05,0.006765118389571817,2021-03-24,168,16090,2,0.01,5.750836276943922e-06,1.7460514755136183e-05,5.750836276943922e-06,1.7460514755136183e-05,0.0023980901311134914,0.004178578078142873,-0.7424608124310397,-1.1709678478192261e-05,0.00019998000266626675,0.5,0.0,1.0,,,
