evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,q_effective_AAPL,baseline_loss_SPY,model_loss_SPY,q_effective_SPY,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_mse,model_mse,baseline_rmse,model_rmse,rho,d,r_effective,model_within_spread,baseline_within_spread,learned_coverage
2020-10-23,2019-05-10,0.062624780776265,0.00035337698182531113,0.006868250539956802,3.416362806770983e-05,6.077679027382133e-06,0.016485351556832367,2020-10-19,120,22383,247,0.01,0.033736803630943175,0.00019308499591857468,0.033736803630943175,0.00019308499591857468,0.18367581122984913,0.013895502722772382,0.9243476719676291,0.0335437186350246,0.0008995952428360928,0.05263157894736842,0.008097165991902834,1.0
2020-10-26,2019-05-10,0.054287520407789655,0.0002544773662592125,0.006910639777468705,7.278925447477777e-05,1.958681135269198e-05,0.0164295708253803,2020-10-21,121,22627,258,0.01,0.02907136638299204,0.00014522594537245878,0.02907136638299204,0.00014522594537245878,0.17050327381898578,0.012050972797764452,0.9293211647621598,0.02892614043761958,0.0009995003330835331,0.06201550387596899,0.023255813953488372,1.0
2020-10-28,2019-05-10,0.06326526299691053,0.00024111612328823112,0.0068181818181818205,0.00016885148096611448,7.655594059640866e-05,0.01679680976878955,2020-10-23,122,22874,223,0.01,0.02874614997025036,0.00015108768253306368,0.02874614997025036,0.00015108768253306368,0.16954689607966983,0.012291772961337339,0.9275022235997676,0.0285950622877173,0.0009995003330835334,0.14798206278026907,0.04035874439461883,1.0
2020-10-30,2019-05-10,0.05966217407350439,0.00032630285970025624,0.00689386056191467,0.0001309919336518006,5.093379935372898e-05,0.017216246439178125,2020-10-26,123,23132,221,0.01,0.028415037746703935,0.00018176525336452247,0.028415037746703935,0.00018176525336452247,0.16856760586394984,0.013482034466820001,0.9200200157217556,0.028233272493339415,0.0008995952428360927,0.058823529411764705,0.027149321266968326,1.0
2020-11-02,2019-05-10,0.05586196291063265,0.0002928265623568411,0.0073029579276134475,7.893352277416049e-05,2.447911435601248e-05,0.017397614381086543,2020-10-28,124,23355,237,0.01,0.025499048180532453,0.00014676402736904832,0.025499048180532453,0.00014676402736904832,0.15968421393654555,0.012114620397232772,0.9241338883876974,0.025352284153163405,0.0008995952428360929,0.11814345991561181,0.046413502109704644,1.0
2020-11-04,2019-05-10,0.06249258061762882,0.0004975481575509186,0.007198478812024627,2.764345839445572e-05,9.198450910203338e-06,0.016906279201261785,2020-10-30,125,23576,222,0.01,0.030134617674782187,0.00024457421041721475,0.030134617674782187,0.00024457421041721475,0.1735932535405169,0.015638868578551797,0.9099108504530583,0.02989004346436497,0.0009995003330835331,0.05855855855855856,0.06756756756756757,1.0
2020-11-06,2019-05-10,0.06319507680273799,0.0006456490170669818,0.006678988490296563,1.4844614153044749e-05,1.242824266980204e-05,0.016220354613978978,2020-11-02,126,23813,222,0.01,0.032174151989423756,0.0003347433215296277,0.032174151989423756,0.0003347433215296277,0.17937154732404959,0.01829599195260065,0.8979994752481707,0.03183940866789413,0.0009995003330835331,0.036036036036036036,0.036036036036036036,1.0
2020-11-09,2019-05-10,0.04935791331781415,0.00042077696612982717,0.006803437526329095,1.3701649470641296e-05,1.1757551191577734e-05,0.016224060429517934,2020-11-04,127,24035,182,0.01,0.01899224459883353,0.00016907271078321214,0.01899224459883353,0.00016907271078321214,0.13781235285283222,0.013002796267849932,0.9056485431190959,0.018823171888050317,0.0009995003330835331,0.14835164835164835,0.04395604395604396,1.0
2020-11-11,2019-05-10,0.07676157357488987,0.000940745834175017,0.006963007674398551,1.226925526874067e-05,1.7266954328643566e-05,0.016046257485029938,2020-11-06,128,24257,224,0.01,0.04078533717506748,0.0005078651092470294,0.04078533717506748,0.0005078651092470294,0.2019537996054233,0.022535862735804667,0.888410800985992,0.04027747206582045,0.0009995003330835331,0.03571428571428571,0.03125,1.0
2020-11-13,2019-05-10,0.07622944053727855,0.0009206815601189305,0.006773760590554482,1.1474751285650039e-05,2.5307077489988222e-05,0.01608396421392372,2020-11-09,129,24439,203,0.01,0.04168730825988275,0.000514896080306799,0.04168730825988275,0.000514896080306799,0.20417470034233612,0.02269132169589949,0.8888632055888739,0.04117241217957595,0.0009995003330835334,0.03940886699507389,0.019704433497536946,1.0
