evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,q_effective_AAPL,baseline_loss_SPY,model_loss_SPY,q_effective_SPY,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_mse,model_mse,baseline_rmse,model_rmse,rho,d,r_effective,model_within_spread,baseline_within_spread,learned_coverage
2020-10-23,2019-05-10,0.062624780776265,0.00041536383771196585,0.006868250539956802,3.416362806770983e-05,2.8401222268409293e-06,0.016485351556832367,2020-10-19,120,22383,247,100.0,0.033736803630943175,0.00022496827671883126,0.033736803630943175,0.00022496827671883126,0.18367581122984913,0.014998942520018911,0.9183401318900426,0.03351183535422434,0.0008995952428360928,0.07692307692307693,0.008097165991902834,1.0
2020-10-26,2019-05-10,0.054287520407789655,0.00028536010559411697,0.006910639777468705,7.278925447477777e-05,1.039489275956147e-05,0.0164295708253803,2020-10-21,121,22627,258,100.0,0.02907136638299204,0.00015746930892688186,0.02907136638299204,0.00015746930892688186,0.17050327381898578,0.012548677576815888,0.9264021311981484,0.028913897074065158,0.0009995003330835331,0.06201550387596899,0.023255813953488372,1.0
2020-10-28,2019-05-10,0.06326526299691053,0.0002553679960561383,0.0068181818181818205,0.00016885148096611448,6.041765222491126e-05,0.01679680976878955,2020-10-23,122,22874,223,100.0,0.02874614997025036,0.00014871354786147596,0.02874614997025036,0.00014871354786147596,0.16954689607966983,0.0121948164341033,0.9280740802923755,0.028597436422388885,0.0009995003330835334,0.1031390134529148,0.04035874439461883,1.0
2020-10-30,2019-05-10,0.05966217407350439,0.00034945248021693375,0.00689386056191467,0.0001309919336518006,4.037453358449757e-05,0.017216246439178125,2020-10-26,123,23132,221,100.0,0.028415037746703935,0.0001872215218035284,0.028415037746703935,0.0001872215218035284,0.16856760586394984,0.013682891573184683,0.9188284634935844,0.028227816224900407,0.0008995952428360927,0.049773755656108594,0.027149321266968326,1.0
2020-11-02,2019-05-10,0.05586196291063265,0.00031803834739106533,0.0073029579276134475,7.893352277416049e-05,1.4558311098738615e-05,0.017397614381086543,2020-10-28,124,23355,237,1.0,0.025499048180532453,0.0001528530111813179,0.025499048180532453,0.0001528530111813179,0.15968421393654555,0.012363373778274194,0.9225761052173442,0.025346195169351136,0.0008995952428360929,0.09282700421940929,0.046413502109704644,1.0
2020-11-04,2019-05-10,0.06249258061762882,0.0005387856382025623,0.007198478812024627,2.764345839445572e-05,5.341088387126039e-06,0.016906279201261785,2020-10-30,125,23576,222,0.01,0.030134617674782187,0.00026245174978465615,0.030134617674782187,0.00026245174978465615,0.1735932535405169,0.01620036264361561,0.9066763119349311,0.029872165924997533,0.0009995003330835331,0.0990990990990991,0.06756756756756757,1.0
2020-11-06,2019-05-10,0.06319507680273799,0.0006889069828891621,0.006678988490296563,1.4844614153044749e-05,1.658057436987932e-05,0.016220354613978978,2020-11-02,126,23813,222,0.01,0.032174151989423756,0.0003588007733008655,0.032174151989423756,0.0003588007733008655,0.17937154732404959,0.018942037200387542,0.8943977599403367,0.03181535121612289,0.0009995003330835331,0.036036036036036036,0.036036036036036036,1.0
2020-11-09,2019-05-10,0.04935791331781415,0.00044305931051822375,0.006803437526329095,1.3701649470641296e-05,1.6373574095725403e-05,0.016224060429517934,2020-11-04,127,24035,182,0.01,0.01899224459883353,0.00018048347271976324,0.01899224459883353,0.00018048347271976324,0.13781235285283222,0.013434413746783417,0.9025166215605518,0.018811761126113765,0.0009995003330835331,0.15384615384615385,0.04395604395604396,1.0
2020-11-11,2019-05-10,0.07676157357488987,0.0009171581012098267,0.006963007674398551,1.226925526874067e-05,2.6427719359284833e-05,0.016046257485029938,2020-11-06,128,24257,224,0.01,0.04078533717506748,0.0004996282347173852,0.04078533717506748,0.0004996282347173852,0.2019537996054233,0.022352365304758804,0.8893194119227725,0.04028570894035009,0.0009995003330835331,0.049107142857142856,0.03125,1.0
2020-11-13,2019-05-10,0.07622944053727855,0.0009343179087692637,0.006773760590554482,1.1474751285650039e-05,3.949313532422081e-05,0.01608396421392372,2020-11-09,129,24439,203,0.01,0.04168730825988275,0.0005287815582424464,0.04168730825988275,0.0005287815582424464,0.20417470034233612,0.022995250775811216,0.8873746319340472,0.0411585267016403,0.0009995003330835334,0.04433497536945813,0.019704433497536946,1.0
