evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,q_effective_AAPL,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_mse,model_mse,baseline_rmse,model_rmse,rho,d,r_effective,model_within_spread,baseline_within_spread,learned_coverage,baseline_loss_SPY,model_loss_SPY,q_effective_SPY
2020-11-16,2020-01-08,7.377423700914242e-07,1.4920795626788068e-06,0.006770920677511319,2020-11-11,120,11060,98,100.0,7.377423700914242e-07,1.4920795626788068e-06,7.377423700914242e-07,1.4920795626788068e-06,0.0008589193035969236,0.0012215070866265193,-0.4221441775859214,-7.543371925873826e-07,0.0008995952428360928,0.23469387755102042,0.3673469387755102,1.0,,,
2020-11-18,2020-01-08,4.632687941068846e-07,1.4415201136389994e-06,0.006763548035848898,2020-11-13,121,11168,82,100.0,3.6073783550357826e-07,9.982590936805052e-07,3.6073783550357826e-07,9.982590936805052e-07,0.0006006145481950785,0.0009991291676657754,-0.6635114328620295,-6.375212581769269e-07,0.0008995952428360928,0.2926829268292683,0.5,1.0,2.530803289701067e-07,5.328350227240859e-07,0.01575347179856913
2020-11-20,2020-01-08,3.678195447813496e-07,1.6332020044395145e-06,0.006806304787592717,2020-11-16,122,11266,145,100.0,1.0742419195430707e-06,2.3083932150892254e-06,1.0742419195430707e-06,2.3083932150892254e-06,0.0010364564243339276,0.0015193397299778696,-0.46589831883599353,-1.2341512955461548e-06,0.0006997551142733421,0.1310344827586207,0.3310344827586207,1.0,2.9286006532925884e-06,4.080770143044717e-06,0.015878520319749567
2020-11-23,2020-01-08,8.332433568379473e-07,9.147137483558326e-07,0.006881711266405318,2020-11-18,123,11348,145,100.0,1.5223707189241433e-06,1.535973478590733e-06,1.5223707189241433e-06,1.535973478590733e-06,0.0012338438794775226,0.0012393439710551438,-0.004457688423230799,-1.3602759666589643e-08,0.0006997551142733421,0.2,0.2827586206896552,1.0,3.3953835492097013e-06,3.2245255658958463e-06,0.015988002701713893
2020-11-25,2020-01-08,1.5913675928631456e-07,3.10054335867862e-07,0.007011374489884519,2020-11-20,124,11493,80,100.0,1.5637577470115873e-07,5.945639073791288e-07,1.5637577470115873e-07,5.945639073791288e-07,0.00039544376932903964,0.0007710797023519221,-0.9499098535810395,-4.381881326779701e-07,0.000899595242836093,0.35,0.525,1.0,1.5347320116291792e-07,8.936637133268707e-07,0.015640705357634493
2020-11-27,2020-01-08,2.828527071917874e-07,6.56268090887184e-07,0.0069594070499008846,2020-11-23,125,11638,141,100.0,2.5628770894013396e-07,6.287418878838552e-07,2.5628770894013396e-07,6.287418878838552e-07,0.0005062486631489845,0.000792932461111194,-0.5662904790285661,-3.724541789437212e-07,0.0008995952428360927,0.3120567375886525,0.425531914893617,1.0,1.8428258210012597e-07,5.541313902695683e-07,0.01566485689075167
2020-11-30,2020-01-08,1.78470200170437e-05,1.3555487787272134e-05,0.006925979929668066,2020-11-25,126,11718,67,100.0,8.608752503006025e-06,6.990337850350593e-06,8.608752503006025e-06,6.990337850350593e-06,0.0029340675696046987,0.002643924705877721,0.09888758757047578,1.6184146526554314e-06,0.000899595242836093,0.23880597014925373,0.26865671641791045,1.0,1.118265329461965e-06,1.6672433069006991e-06,0.015621351774960815
2020-12-02,2020-01-08,6.06845563728703e-06,6.949417110144763e-06,0.006580019556714471,2020-11-27,127,11859,88,100.0,3.965409585004032e-06,4.187890764334816e-06,3.965409585004032e-06,4.187890764334816e-06,0.0019913336197141937,0.0020464336696640857,-0.02766992401695112,-2.2248117933078374e-07,0.0008995952428360929,0.03409090909090909,0.14772727272727273,1.0,1.3231209552125752e-06,7.182807401120612e-07,0.015521056226435717
2020-12-04,2020-01-08,2.7205617758274447e-06,4.6071380044156735e-06,0.006568244672197819,2020-11-30,128,11926,66,0.01,2.7205617758274447e-06,4.6071380044156735e-06,2.7205617758274447e-06,4.6071380044156735e-06,0.0016494125547683468,0.0021464244697672625,-0.30132662296166357,-1.8865762285882288e-06,0.0007996801705643322,0.16666666666666666,0.21212121212121213,1.0,,,
2020-12-07,2020-01-08,1.1142633861890987e-06,1.213577413026614e-06,0.006605316973415134,2020-12-02,129,12014,123,0.01,9.74199096179815e-07,1.1084383104106563e-06,9.74199096179815e-07,1.1084383104106563e-06,0.000987015246173946,0.0010528239693370664,-0.06667447480494415,-1.3423921423084133e-07,0.0008995952428360928,0.5853658536585366,0.4715447154471545,1.0,5.922055779726776e-07,8.21695303276226e-07,0.01536032715965932
